Student_ID,CGPA,Internships,Placed,Salary (INR LPA)
1,7.9,3,Yes,17.63
2,7.39,0,Yes,28.37
3,8.02,2,Yes,8.95
4,8.72,4,Yes,22.59
5,7.31,2,Yes,19.67
6,7.31,2,Yes,22.96
8,8.11,0,Yes,8.8
9,7.12,0,Yes,20.95
10,7.93,1,Yes,16.45
11,7.13,3,Yes,23.06
13,7.69,3,Yes,11.83
14,5.97,3,Yes,27.03
15,6.12,2,Yes,5.28
16,7.05,2,Yes,24.79
17,6.69,3,Yes,26.26
18,7.75,3,Yes,25.07
20,6.37,1,Yes,16.84
21,8.67,2,Yes,14.84
22,7.32,0,Yes,29.9
23,7.55,3,Yes,9.19
24,6.36,1,Yes,17.77
27,6.58,3,Yes,21.11
31,7.02,4,Yes,21.92
33,7.49,1,Yes,8.51
35,8.16,3,Yes,20.66
36,6.52,4,Yes,25.1
38,5.93,4,Yes,4.35
41,8.09,1,Yes,27.61
42,7.64,1,Yes,3.8
43,7.41,2,Yes,12.61
44,7.26,4,Yes,3.43
45,6.32,0,Yes,5.08
47,7.13,2,Yes,27.6
48,8.35,3,Yes,12.58
50,6.09,2,Yes,14.47
51,7.76,2,Yes,8.81
53,6.96,4,Yes,19.12
57,6.83,4,Yes,19.06
58,7.25,1,Yes,13.05
59,7.77,4,Yes,11.99
62,7.35,3,Yes,26.89
63,6.61,3,Yes,13.35
64,6.54,3,Yes,16.32
65,8.15,3,Yes,10.65
67,7.44,1,Yes,24.24
70,6.98,0,Yes,13.73
71,7.79,3,Yes,16.87
72,8.73,1,Yes,9.84
73,7.47,4,Yes,29.67
77,7.57,1,Yes,10.87
78,7.26,3,Yes,23.81
80,5.91,2,Yes,14.54
81,7.32,2,Yes,8.57
82,7.79,1,Yes,24.59
83,8.68,4,Yes,12.01
84,7.09,3,Yes,26.36
85,6.85,2,Yes,27.71
87,8.23,1,Yes,26.22
88,7.76,4,Yes,3.95
89,7.08,0,Yes,24.26
91,7.58,1,Yes,14.11
92,8.27,3,Yes,26.59
93,6.94,1,Yes,20.22
95,7.19,1,Yes,25.51
98,7.71,4,Yes,16.48
100,7.31,3,Yes,17.45
102,7.16,0,Yes,6.9
104,6.86,1,Yes,24.17
105,7.37,0,Yes,14.32
106,7.82,2,Yes,16.5
107,9.01,0,Yes,24.2
108,7.64,0,Yes,19.17
109,7.71,3,Yes,8.43
110,7.44,1,Yes,18.94
111,5.96,2,Yes,14.01
113,7.55,4,Yes,15.68
114,9.47,0,Yes,3.76
115,7.35,3,Yes,8.67
116,7.74,3,Yes,10.59
118,6.57,2,Yes,22.25
122,6.77,4,Yes,3.31
125,7.97,0,Yes,14.04
126,9.25,0,Yes,27.95
